group,type,subset,relation,n,n_filtered,filtered_rate,share_with_nbr,mean_deg,nbr_rate_if_filtered,nbr_rate_if_normal,auc_nbr_rate,auc_lo,auc_hi
high,burst,yes,rur,2999,227,0.0756918972990997,0.7615871957319106,3.059353117705902,0.8761435608726249,0.016296875210858874,0.9375868460360333,0.9120130174217828,0.9619217312482561
high,burst,no,rur,98927,6193,0.06260171641715609,0.7747733176989093,3.437453880133836,0.9205963852343763,0.007945494179534409,0.9632264221487441,0.9580529518391071,0.9684940213495552
high,burst,yes,rsr,2999,227,0.0756918972990997,0.9103034344781594,34.063021007002334,0.23900481763091028,0.11926013461885139,0.6685440301527119,0.6078943580033328,0.7106783438162371
high,burst,no,rsr,98927,6193,0.06260171641715609,0.91140942310997,31.644566195275303,0.17312450759988643,0.09759664768837546,0.6110265296866393,0.5985071978254494,0.6239602134356452
high,burst,yes,rtr,2999,227,0.0756918972990997,0.9619873291097032,13.698566188729577,0.3301401199634493,0.15304816089183043,0.683763300524498,0.6113486810610868,0.734195558089663
high,burst,no,rtr,98927,6193,0.06260171641715609,0.8147118582389035,8.217220778958222,0.1687867571531114,0.10729911434294018,0.5780155842758234,0.5644319668347533,0.595316235646678
high,ratingdev,yes,rur,7908,821,0.10381891755184623,0.7216742539200809,2.4221041982802225,0.8373507585432873,0.01508808398116317,0.9157418334835775,0.8990289519126079,0.932364632634163
high,ratingdev,no,rur,94018,5599,0.059552426131166375,0.7788189495628497,3.510795805058606,0.9304107979212867,0.0076756734967902964,0.9686386595225445,0.9644699890461726,0.9730407904649528
high,ratingdev,yes,rsr,7908,821,0.10381891755184623,0.8315629742033384,10.793373798684875,0.3051816001240828,0.1763740950063139,0.6205188797512786,0.5933725689191284,0.6448170498118933
high,ratingdev,no,rsr,94018,5599,0.059552426131166375,0.9180901529494352,33.475536599374585,0.15836770399028818,0.09254532305118361,0.6092104887694318,0.5955108548430115,0.6206071061212026
high,ratingdev,yes,rtr,7908,821,0.10381891755184623,0.7703591299949418,6.827389984825493,0.2063002308966934,0.1351586762619456,0.5650641713511878,0.5295537960782841,0.5945578856056623
high,ratingdev,no,rtr,94018,5599,0.059552426131166375,0.8231402497394116,8.508966368142271,0.17168018774266589,0.1068683820456227,0.5841828538614008,0.5670663851580028,0.5995550643195967
low,burst,yes,rur,2967,931,0.3137849679811257,0.0,0.0,,,,,
low,burst,no,rur,75766,15513,0.2047488319298894,0.0,0.0,,,,,
low,burst,yes,rsr,2967,931,0.3137849679811257,0.9120323559150657,41.34850016852039,0.39750454926824685,0.15408845797447285,0.7381000225748706,0.7096633881955993,0.767882592224769
low,burst,no,rsr,75766,15513,0.2047488319298894,0.9041786553335269,34.10418921415938,0.21751400452916075,0.12076089355092634,0.6020657524799409,0.5893208943080037,0.6143812788560375
low,burst,yes,rtr,2967,931,0.3137849679811257,0.9622514324233232,16.725648803505223,0.44684778767735867,0.18669775061089142,0.7188611339808213,0.6833459964807013,0.7477739145371568
low,burst,no,rtr,75766,15513,0.2047488319298894,0.8072354354195813,8.809426391785234,0.19459280227009815,0.11807225273175598,0.5746357512994176,0.5619692936695044,0.588472594121307
low,ratingdev,yes,rur,11724,3555,0.3032241555783009,0.0,0.0,,,,,
low,ratingdev,no,rur,67009,12889,0.19234729663179573,0.0,0.0,,,,,
low,ratingdev,yes,rsr,11724,3555,0.3032241555783009,0.8326509723643808,11.110371886728078,0.33207177190486187,0.1871656673867873,0.6180321387268426,0.5941812287121655,0.6364808497917611
low,ratingdev,no,rsr,67009,12889,0.19234729663179573,0.917040994493277,38.4479845990837,0.20121065531813667,0.11296475824855363,0.6050992533789977,0.5902097693763757,0.6200701868181444
low,ratingdev,yes,rtr,11724,3555,0.3032241555783009,0.785568065506653,7.490532241555783,0.2369586182041765,0.13621806908893164,0.5823029622778555,0.5622579465801266,0.6025181216287934
low,ratingdev,no,rtr,67009,12889,0.19234729663179573,0.8178901341610828,9.390693787401693,0.20594919636069434,0.1184207592703597,0.5860579854721708,0.5693442309002609,0.6061160973312001
