group,relation,type,subset,n_test,n_filtered,ap_f37,dAP_label,label_lo,label_hi,dAP_pred,pred_lo,pred_hi
high,rur,burst,yes,741,100,0.34435965698016063,0.4580689509642853,0.34499071272416076,0.5927483818916415,0.003097625686989347,-0.039322254331108794,0.04672126045325133
high,rur,burst,no,25709,1671,0.23278738841397806,0.6177392943025781,0.593160097157108,0.6437030833973347,0.001151868170049919,-0.003797600382113967,0.0066734591750814195
high,rur,burst,all,26450,1771,0.23662233051762938,0.6111219795502707,0.5806661331155671,0.6435274406987018,0.0011215026132147532,-0.003569936323060278,0.006959108043380778
high,rur,ratingdev,yes,2030,225,0.3233706843029619,0.42785899626836954,0.3689504215747172,0.49065083234599277,-0.0058980108134992215,-0.024537077707350682,0.012462885849744554
high,rur,ratingdev,no,24420,1546,0.22331191116379334,0.6419458351080658,0.6097718244764545,0.6709802453786017,0.0031241758911403628,-0.0032369013543812873,0.008766173288998466
high,rsr,burst,yes,741,100,0.34435965698016063,0.016904879450225396,-0.009801981512298061,0.06172921881738714,0.00043348579346996763,-0.00684902203796416,0.0182320067815826
high,rsr,burst,no,25709,1671,0.23278738841397806,0.02235355357925034,0.014879105675544575,0.03028216992083761,0.0024911511002078113,0.00027646811226685893,0.0052445241707028386
high,rsr,burst,all,26450,1771,0.23662233051762938,0.02241133189539818,0.015559207716048152,0.029001499467783253,0.0024365110654865074,8.179980787512351e-05,0.004887529797001136
high,rsr,ratingdev,yes,2030,225,0.3233706843029619,0.05333073392473253,0.022215277133286117,0.08227277245276307,-0.0005331856433821169,-0.008808732236939574,0.010156590215601339
high,rsr,ratingdev,no,24420,1546,0.22331191116379334,0.017336292264357983,0.010830506320532396,0.023708041162017832,0.00245918261154085,-2.3055155640466026e-05,0.004693241869402171
high,rtr,burst,yes,741,100,0.34435965698016063,0.05059208865931525,0.010103990467937567,0.09031320509870278,0.004203245126781607,-0.008035281019023437,0.019403801673719943
high,rtr,burst,no,25709,1671,0.23278738841397806,0.007194854090395525,0.00015557791729496975,0.014546985647287505,0.0007158684416198879,-0.0017751280571954527,0.0032560607259716477
high,rtr,burst,all,26450,1771,0.23662233051762938,0.010433026546291663,0.0030272796815948785,0.018767712725579883,0.0012344354946729474,-0.0016453485807392024,0.0040300215292424155
high,rtr,ratingdev,yes,2030,225,0.3233706843029619,0.0010496737588452376,-0.016336039625640366,0.018595892829789018,-0.005417512170062089,-0.012865067739899847,0.003308051302715989
high,rtr,ratingdev,no,24420,1546,0.22331191116379334,0.01164581649545482,0.004087948657116937,0.019878237222216592,0.002282514954454362,-0.00044721599462415327,0.005279674784783121
low,rur,burst,yes,761,269,0.42314041131875163,0.0,0.0,0.0,0.0,0.0,0.0
low,rur,burst,no,19852,4431,0.3198102123912263,0.0,0.0,0.0,0.0,0.0,0.0
low,rur,burst,all,20613,4700,0.323997958890849,0.0,0.0,0.0,0.0,0.0,0.0
low,rur,ratingdev,yes,3099,1038,0.4107521915114699,0.0,0.0,0.0,0.0,0.0,0.0
low,rur,ratingdev,no,17514,3662,0.2924680245821043,0.0,0.0,0.0,0.0,0.0,0.0
low,rsr,burst,yes,761,269,0.42314041131875163,0.11023989024064468,0.06504642462982063,0.16556658593531098,0.0028993877960583614,-0.0024869645906360214,0.006277852944574051
low,rsr,burst,no,19852,4431,0.3198102123912263,0.04969062543845637,0.038701013662078676,0.0592482258100083,2.557032126260239e-06,-0.0010170927361192225,0.0008068578774183631
low,rsr,burst,all,20613,4700,0.323997958890849,0.053848232818814346,0.04214185211360032,0.06586829785941296,0.00018305786322730944,-0.00081576303952232,0.0010686780865323407
low,rsr,ratingdev,yes,3099,1038,0.4107521915114699,0.07877559656115335,0.04630329160459501,0.10571994649508275,0.0002570567066840779,-0.0024013267135867865,0.002540057125085718
low,rsr,ratingdev,no,17514,3662,0.2924680245821043,0.04762785483283122,0.034534949349869254,0.06293303801346753,0.0003294839725222487,-0.0007050683176333033,0.001443163481447547
low,rtr,burst,yes,761,269,0.42314041131875163,0.11571263727727205,0.0696463364989337,0.1636057485314405,0.015730874265672323,-0.007091137083476611,0.029311439210856872
low,rtr,burst,no,19852,4431,0.3198102123912263,0.028744366418044343,0.017432533393509378,0.043182662785184664,0.0014851902691542795,-0.0010027794468690468,0.004276955147987136
low,rtr,burst,all,20613,4700,0.323997958890849,0.03660266056278677,0.020954069989591838,0.052898166543258324,0.0027497781680362876,-0.0011740747309235328,0.006981227392886264
low,rtr,ratingdev,yes,3099,1038,0.4107521915114699,0.044371526156349095,0.018618520179454666,0.06733484420083695,0.0026544322816462462,-0.005548042518900805,0.011526209315781848
low,rtr,ratingdev,no,17514,3662,0.2924680245821043,0.03569640524063489,0.016013712085111768,0.05834238478731353,0.002966211590870238,-0.001225263683676525,0.007604296543518152
