group,relation,measure,bin,lo,hi,n,n_filtered,filtered_rate,dAP,dAP_lo,dAP_hi,dAUC,dAUC_lo,dAUC_hi
low,rur,burst,1,1.2491325370856019e-08,0.1824217085556298,1701,343,0.20164609053497942,0.0005069961854473948,-0.008789911400593223,0.01146073045653909,0.0010592665427205938,-0.006585634125258985,0.009518144992446532
low,rur,burst,2,0.18250691595148852,0.4276877691025769,1700,339,0.19941176470588234,-0.001237813388176434,-0.011227213784080658,0.012399227049102683,-0.0008986104699173269,-0.008737363383674345,0.008086815614692188
low,rur,burst,3,0.42789619066995965,0.830725819381649,1700,344,0.2023529411764706,0.001664302835469722,-0.010172280876812517,0.014092802253157358,-0.0004120360842423176,-0.007052080089610227,0.006433214209396122
low,rur,burst,4,0.830725819381649,19.192398506318106,1701,435,0.25573192239858905,0.008622706989567974,-0.008043620473579741,0.028404142516300895,0.006180385320767701,-0.0023343464036663093,0.016671741469950433
low,rur,absdev,1,0.0,0.41772151898734133,1620,273,0.1685185185185185,-0.0026656198724507195,-0.013886172830667613,0.008092154311237066,-0.0031397951219777507,-0.014053542199513554,0.00964583427737831
low,rur,absdev,2,0.41860465116279055,0.8435988390841667,1619,354,0.21865348980852378,0.005213207841188061,-0.013722401058507574,0.0294046992009455,0.005956990688015007,-0.0071264420167351525,0.01875230170663121
low,rur,absdev,3,0.84375,1.2075242718446604,1619,251,0.15503397158739962,0.0003535435395593256,-0.007912092718442084,0.00934967307121511,-0.0027166189044989463,-0.01154399004821991,0.006415646248569364
low,rur,absdev,4,1.2077922077922079,3.7636363636363637,1619,475,0.2933909820877085,0.0011901178858238714,-0.007773115472458291,0.011698599847262193,-0.00021383879278615847,-0.005563725854467318,0.005467157977838144
low,rur,down,1,0.0022962112514353095,0.32616487455197163,604,92,0.152317880794702,-0.002593819965877242,-0.023103248282441997,0.012911896119531939,-0.005103600543478226,-0.020192806357291034,0.010735852549822213
low,rur,down,2,0.32624113475177285,1.0869565217391308,603,113,0.18739635157545606,0.022899537430564432,-0.014180511431533885,0.057806619676013006,0.00957197038107276,-0.00800929148959502,0.025793067896399326
low,rur,down,3,1.0922570016474467,2.2681833850396416,603,148,0.24543946932006633,0.007839925001932157,-0.00970804641537632,0.02851588417389497,0.003130383130383119,-0.005025345402896434,0.012098215190057545
low,rur,down,4,2.2746113989637307,3.7636363636363637,604,173,0.28642384105960267,-0.004795550096093315,-0.02174601544113063,0.01759894110351452,-0.006051258667167425,-0.018968323055706907,0.007929740445136852
low,rur,up,1,0.0023255813953486637,0.4530111238972001,1012,212,0.20948616600790515,0.004907007185989576,-0.01216136515785759,0.02149235708659521,0.002357311320754718,-0.011264129033105067,0.01668786182008442
low,rur,up,2,0.45302396348421414,0.7862595419847329,1012,195,0.19268774703557312,-0.002829705351266765,-0.014829063149282142,0.007302976354786265,-0.00037535699714401626,-0.01264136964724388,0.013283703344454985
low,rur,up,3,0.786516853932584,1.0536044362292052,1012,174,0.17193675889328064,0.0002929126214282096,-0.009531969417529162,0.011170843565440736,-0.0001508792143307902,-0.00983235480793765,0.011569961427180458
low,rur,up,4,1.053793399057008,3.125,1012,245,0.24209486166007904,0.00322565018692379,-0.011157876154754187,0.017425251471586377,-0.0005438629167442644,-0.009207426324308132,0.007346847308570344
